isbn,isbn13,isbn10,title,author,authors,category,categories,publisher,year,published_year,description,keywords,language,availability,availability_status,copies,copies_available,total_copies,copies_total,borrowed_count,expected_return,expected_return_date,shelf,shelf_location,popularity_score,difficulty_level,target_audience,table_of_contents,average_rating,ratings_count,source,semantic_text,combined
9789310000191,9789310000191,8100000191,Thermal Mechanical Engineering: Fluid Mechanics Casebook 9,R. Kumar,R. Kumar,Mechanical Engineering,Mechanical Engineering,McGraw Hill,2023,2023,"Thermal Mechanical Engineering: Fluid Mechanics Casebook 9 is designed for college library users studying Mechanical Engineering. It explains thermodynamics, fluid mechanics, and machine design with examples, exercises, and project-oriented cases. The book is useful for semester study, lab preparation, interviews, and capstone project reference.",Mechanical Engineering; fluid mechanics; thermodynamics; fluid mechanics; machine design; manufacturing; CAD,English,Available,Available,3,3,9,9,15,,,F-24-8,F-24-8,0.47,Intermediate,mechanical students; design engineers; production engineers,Introduction to Mechanical Engineering; Core concepts in fluid mechanics; Tools and methods for fluid mechanics; Solved examples; Mini project and assessment questions,4.3,9077,books.csv,"Thermal Mechanical Engineering: Fluid Mechanics Casebook 9 R. Kumar Mechanical Engineering Thermal Mechanical Engineering: Fluid Mechanics Casebook 9 is designed for college library users studying Mechanical Engineering. It explains thermodynamics, fluid mechanics, and machine design with examples, exercises, and project-oriented cases. The book is useful for semester study, lab preparation, interviews, and capstone project reference. Mechanical Engineering; fluid mechanics; thermodynamics; fluid mechanics; machine design; manufacturing; CAD","Thermal Mechanical Engineering: Fluid Mechanics Casebook 9 R. Kumar Mechanical Engineering Thermal Mechanical Engineering: Fluid Mechanics Casebook 9 is designed for college library users studying Mechanical Engineering. It explains thermodynamics, fluid mechanics, and machine design with examples, exercises, and project-oriented cases. The book is useful for semester study, lab preparation, interviews, and capstone project reference. Mechanical Engineering; fluid mechanics; thermodynamics; fluid mechanics; machine design; manufacturing; CAD"
9789310000192,9789310000192,8100000192,Geotechnical Civil Engineering: Soil Mechanics Casebook 9,S. Iyer,S. Iyer,Civil Engineering,Civil Engineering,Oxford University Press,2024,2024,"Geotechnical Civil Engineering: Soil Mechanics Casebook 9 is designed for college library users studying Civil Engineering. It explains structures, concrete, and soil mechanics with examples, exercises, and project-oriented cases. The book is useful for semester study, lab preparation, interviews, and capstone project reference.",Civil Engineering; soil mechanics; structures; concrete; soil mechanics; surveying; construction management,English,Available,Available,1,1,2,2,11,,,A-01-1,A-01-1,0.64,Intermediate,civil students; site engineers; structural engineers,Introduction to Civil Engineering; Core concepts in soil mechanics; Tools and methods for concrete; Solved examples; Mini project and assessment questions,3.4,9174,books.csv,"Geotechnical Civil Engineering: Soil Mechanics Casebook 9 S. Iyer Civil Engineering Geotechnical Civil Engineering: Soil Mechanics Casebook 9 is designed for college library users studying Civil Engineering. It explains structures, concrete, and soil mechanics with examples, exercises, and project-oriented cases. The book is useful for semester study, lab preparation, interviews, and capstone project reference. Civil Engineering; soil mechanics; structures; concrete; soil mechanics; surveying; construction management","Geotechnical Civil Engineering: Soil Mechanics Casebook 9 S. Iyer Civil Engineering Geotechnical Civil Engineering: Soil Mechanics Casebook 9 is designed for college library users studying Civil Engineering. It explains structures, concrete, and soil mechanics with examples, exercises, and project-oriented cases. The book is useful for semester study, lab preparation, interviews, and capstone project reference. Civil Engineering; soil mechanics; structures; concrete; soil mechanics; surveying; construction management"
9789310000193,9789310000193,8100000193,Marketing MBA: Operations Casebook 9,Meera Nair,Meera Nair,MBA,MBA,Cambridge University Press,2025,2025,"Marketing MBA: Operations Casebook 9 is designed for college library users studying MBA. It explains management, marketing, and finance with examples, exercises, and project-oriented cases. The book is useful for semester study, lab preparation, interviews, and capstone project reference.",MBA; operations; management; marketing; finance; operations; strategy,English,Available,Available,2,2,3,3,12,,,B-02-2,B-02-2,0.81,Intermediate,MBA students; managers; entrepreneurs,Introduction to MBA; Core concepts in operations; Tools and methods for marketing; Solved examples; Mini project and assessment questions,4.1,9271,books.csv,"Marketing MBA: Operations Casebook 9 Meera Nair MBA Marketing MBA: Operations Casebook 9 is designed for college library users studying MBA. It explains management, marketing, and finance with examples, exercises, and project-oriented cases. The book is useful for semester study, lab preparation, interviews, and capstone project reference. MBA; operations; management; marketing; finance; operations; strategy","Marketing MBA: Operations Casebook 9 Meera Nair MBA Marketing MBA: Operations Casebook 9 is designed for college library users studying MBA. It explains management, marketing, and finance with examples, exercises, and project-oriented cases. The book is useful for semester study, lab preparation, interviews, and capstone project reference. MBA; operations; management; marketing; finance; operations; strategy"
9789310000194,9789310000194,8100000194,Applied Economics: Development Casebook 9,K. Srinivasan,K. Srinivasan,Economics,Economics,MIT Press,2026,2026,"Applied Economics: Development Casebook 9 is designed for college library users studying Economics. It explains microeconomics, macroeconomics, and markets with examples, exercises, and project-oriented cases. The book is useful for semester study, lab preparation, interviews, and capstone project reference.",Economics; development; microeconomics; macroeconomics; markets; policy; development,English,Available,Available,3,3,4,4,13,,,C-03-3,C-03-3,0.98,Intermediate,commerce students; MBA students; economics students,Introduction to Economics; Core concepts in development; Tools and methods for macroeconomics; Solved examples; Mini project and assessment questions,4.8,9368,books.csv,"Applied Economics: Development Casebook 9 K. Srinivasan Economics Applied Economics: Development Casebook 9 is designed for college library users studying Economics. It explains microeconomics, macroeconomics, and markets with examples, exercises, and project-oriented cases. The book is useful for semester study, lab preparation, interviews, and capstone project reference. Economics; development; microeconomics; macroeconomics; markets; policy; development","Applied Economics: Development Casebook 9 K. Srinivasan Economics Applied Economics: Development Casebook 9 is designed for college library users studying Economics. It explains microeconomics, macroeconomics, and markets with examples, exercises, and project-oriented cases. The book is useful for semester study, lab preparation, interviews, and capstone project reference. Economics; development; microeconomics; macroeconomics; markets; policy; development"
9789310000195,9789310000195,8100000195,Technical Communication Skills: Presentation Casebook 9,Priya Menon,Priya Menon,Communication Skills,Communication Skills,O'Reilly Media,2014,2014,"Technical Communication Skills: Presentation Casebook 9 is designed for college library users studying Communication Skills. It explains presentation, writing, and interviews with examples, exercises, and project-oriented cases. The book is useful for semester study, lab preparation, interviews, and capstone project reference.",Communication Skills; presentation; presentation; writing; interviews; group discussion; reports,English,Available,Available,1,1,5,5,4,,,D-04-4,D-04-4,0.6,Beginner,all college students; placement students; first-year students,Introduction to Communication Skills; Core concepts in presentation; Tools and methods for writing; Solved examples; Mini project and assessment questions,3.9,9465,books.csv,"Technical Communication Skills: Presentation Casebook 9 Priya Menon Communication Skills Technical Communication Skills: Presentation Casebook 9 is designed for college library users studying Communication Skills. It explains presentation, writing, and interviews with examples, exercises, and project-oriented cases. The book is useful for semester study, lab preparation, interviews, and capstone project reference. Communication Skills; presentation; presentation; writing; interviews; group discussion; reports","Technical Communication Skills: Presentation Casebook 9 Priya Menon Communication Skills Technical Communication Skills: Presentation Casebook 9 is designed for college library users studying Communication Skills. It explains presentation, writing, and interviews with examples, exercises, and project-oriented cases. The book is useful for semester study, lab preparation, interviews, and capstone project reference. Communication Skills; presentation; presentation; writing; interviews; group discussion; reports"
9789310000196,9789310000196,8100000196,Academic Research Methodology: Methodology Casebook 9,Daniel Roberts,Daniel Roberts,Research Methodology,Research Methodology,Springer,2015,2015,"Academic Research Methodology: Methodology Casebook 9 is designed for college library users studying Research Methodology. It explains literature review, methodology, and citations with examples, exercises, and project-oriented cases. The book is useful for semester study, lab preparation, interviews, and capstone project reference.",Research Methodology; methodology; literature review; methodology; citations; survey design; data collection,English,Borrowed,Borrowed,0,0,6,6,7,2026-06-21,2026-06-21,E-05-5,E-05-5,0.77,Intermediate,final-year students; research students; faculty,Introduction to Research Methodology; Core concepts in methodology; Tools and methods for methodology; Solved examples; Mini project and assessment questions,4.6,62,books.csv,"Academic Research Methodology: Methodology Casebook 9 Daniel Roberts Research Methodology Academic Research Methodology: Methodology Casebook 9 is designed for college library users studying Research Methodology. It explains literature review, methodology, and citations with examples, exercises, and project-oriented cases. The book is useful for semester study, lab preparation, interviews, and capstone project reference. Research Methodology; methodology; literature review; methodology; citations; survey design; data collection","Academic Research Methodology: Methodology Casebook 9 Daniel Roberts Research Methodology Academic Research Methodology: Methodology Casebook 9 is designed for college library users studying Research Methodology. It explains literature review, methodology, and citations with examples, exercises, and project-oriented cases. The book is useful for semester study, lab preparation, interviews, and capstone project reference. Research Methodology; methodology; literature review; methodology; citations; survey design; data collection"
9789310000197,9789310000197,8100000197,Climate Environmental Science: Climate Change Casebook 9,Nisha Verma,Nisha Verma,Environmental Science,Environmental Science,Wiley,2016,2016,"Climate Environmental Science: Climate Change Casebook 9 is designed for college library users studying Environmental Science. It explains sustainability, pollution, and climate change with examples, exercises, and project-oriented cases. The book is useful for semester study, lab preparation, interviews, and capstone project reference.",Environmental Science; climate change; sustainability; pollution; climate change; biodiversity; waste management,English,Available,Available,2,2,7,7,7,,,F-06-6,F-06-6,0.94,Intermediate,all college students; environmental science students; project teams,Introduction to Environmental Science; Core concepts in climate change; Tools and methods for pollution; Solved examples; Mini project and assessment questions,3.7,159,books.csv,"Climate Environmental Science: Climate Change Casebook 9 Nisha Verma Environmental Science Climate Environmental Science: Climate Change Casebook 9 is designed for college library users studying Environmental Science. It explains sustainability, pollution, and climate change with examples, exercises, and project-oriented cases. The book is useful for semester study, lab preparation, interviews, and capstone project reference. Environmental Science; climate change; sustainability; pollution; climate change; biodiversity; waste management","Climate Environmental Science: Climate Change Casebook 9 Nisha Verma Environmental Science Climate Environmental Science: Climate Change Casebook 9 is designed for college library users studying Environmental Science. It explains sustainability, pollution, and climate change with examples, exercises, and project-oriented cases. The book is useful for semester study, lab preparation, interviews, and capstone project reference. Environmental Science; climate change; sustainability; pollution; climate change; biodiversity; waste management"
9789310000198,9789310000198,8100000198,Advanced Artificial Intelligence: Ai Casebook 10,Arun Patel,Arun Patel,Artificial Intelligence,Artificial Intelligence,Apress,2017,2017,"Advanced Artificial Intelligence: Ai Casebook 10 is designed for college library users studying Artificial Intelligence. It explains AI, machine learning, and neural networks with examples, exercises, and project-oriented cases. The book is useful for semester study, lab preparation, interviews, and capstone project reference.",Artificial Intelligence; AI; AI; machine learning; neural networks; search; knowledge representation; NLP,English,Available,Available,7,7,8,8,4,,,A-07-7,A-07-7,0.56,Advanced,CSE students; AI engineers; ML students,Introduction to Artificial Intelligence; Core concepts in AI; Tools and methods for machine learning; Solved examples; Mini project and assessment questions,4.4,256,books.csv,"Advanced Artificial Intelligence: Ai Casebook 10 Arun Patel Artificial Intelligence Advanced Artificial Intelligence: Ai Casebook 10 is designed for college library users studying Artificial Intelligence. It explains AI, machine learning, and neural networks with examples, exercises, and project-oriented cases. The book is useful for semester study, lab preparation, interviews, and capstone project reference. Artificial Intelligence; AI; AI; machine learning; neural networks; search; knowledge representation; NLP","Advanced Artificial Intelligence: Ai Casebook 10 Arun Patel Artificial Intelligence Advanced Artificial Intelligence: Ai Casebook 10 is designed for college library users studying Artificial Intelligence. It explains AI, machine learning, and neural networks with examples, exercises, and project-oriented cases. The book is useful for semester study, lab preparation, interviews, and capstone project reference. Artificial Intelligence; AI; AI; machine learning; neural networks; search; knowledge representation; NLP"
9789310000199,9789310000199,8100000199,Production Machine Learning: Python Casebook 10,Leena Thomas,Leena Thomas,Machine Learning,Machine Learning,PHI Learning,2018,2018,"Production Machine Learning: Python Casebook 10 is designed for college library users studying Machine Learning. It explains supervised learning, unsupervised learning, and model evaluation with examples, exercises, and project-oriented cases. The book is useful for semester study, lab preparation, interviews, and capstone project reference.",Machine Learning; Python; supervised learning; unsupervised learning; model evaluation; feature engineering; Python,English,Available,Available,2,2,9,9,11,,,B-08-8,B-08-8,0.73,Intermediate,ML students; data science students; AI engineers,Introduction to Machine Learning; Core concepts in Python; Tools and methods for unsupervised learning; Solved examples; Mini project and assessment questions,3.5,353,books.csv,"Production Machine Learning: Python Casebook 10 Leena Thomas Machine Learning Production Machine Learning: Python Casebook 10 is designed for college library users studying Machine Learning. It explains supervised learning, unsupervised learning, and model evaluation with examples, exercises, and project-oriented cases. The book is useful for semester study, lab preparation, interviews, and capstone project reference. Machine Learning; Python; supervised learning; unsupervised learning; model evaluation; feature engineering; Python","Production Machine Learning: Python Casebook 10 Leena Thomas Machine Learning Production Machine Learning: Python Casebook 10 is designed for college library users studying Machine Learning. It explains supervised learning, unsupervised learning, and model evaluation with examples, exercises, and project-oriented cases. The book is useful for semester study, lab preparation, interviews, and capstone project reference. Machine Learning; Python; supervised learning; unsupervised learning; model evaluation; feature engineering; Python"
9789310000200,9789310000200,8100000200,Data-Driven Data Science: Statistics Casebook 10,A. Sharma,A. Sharma,Data Science,Data Science,Pearson,2019,2019,"Data-Driven Data Science: Statistics Casebook 10 is designed for college library users studying Data Science. It explains statistics, data analysis, and visualization with examples, exercises, and project-oriented cases. The book is useful for semester study, lab preparation, interviews, and capstone project reference.",Data Science; statistics; statistics; data analysis; visualization; data cleaning; predictive modeling,English,Available,Available,1,1,2,2,6,,,C-09-1,C-09-1,0.9,Beginner,data science students; analysts; research students,Introduction to Data Science; Core concepts in statistics; Tools and methods for data analysis; Solved examples; Mini project and assessment questions,4.2,450,books.csv,"Data-Driven Data Science: Statistics Casebook 10 A. Sharma Data Science Data-Driven Data Science: Statistics Casebook 10 is designed for college library users studying Data Science. It explains statistics, data analysis, and visualization with examples, exercises, and project-oriented cases. The book is useful for semester study, lab preparation, interviews, and capstone project reference. Data Science; statistics; statistics; data analysis; visualization; data cleaning; predictive modeling","Data-Driven Data Science: Statistics Casebook 10 A. Sharma Data Science Data-Driven Data Science: Statistics Casebook 10 is designed for college library users studying Data Science. It explains statistics, data analysis, and visualization with examples, exercises, and project-oriented cases. The book is useful for semester study, lab preparation, interviews, and capstone project reference. Data Science; statistics; statistics; data analysis; visualization; data cleaning; predictive modeling"
9789310000201,9789310000201,8100000201,Professional Programming: Oop Casebook 10,R. Kumar,R. Kumar,Programming,Programming,McGraw Hill,2020,2020,"Professional Programming: Oop Casebook 10 is designed for college library users studying Programming. It explains Python, Java, and C++ with examples, exercises, and project-oriented cases. The book is useful for semester study, lab preparation, interviews, and capstone project reference.",Programming; OOP; Python; Java; C++; OOP; debugging; software design,English,Available,Available,1,1,3,3,8,,,D-10-2,D-10-2,0.52,Intermediate,first-year students; CSE students; programming beginners,Introduction to Programming; Core concepts in OOP; Tools and methods for Java; Solved examples; Mini project and assessment questions,4.9,547,books.csv,"Professional Programming: Oop Casebook 10 R. Kumar Programming Professional Programming: Oop Casebook 10 is designed for college library users studying Programming. It explains Python, Java, and C++ with examples, exercises, and project-oriented cases. The book is useful for semester study, lab preparation, interviews, and capstone project reference. Programming; OOP; Python; Java; C++; OOP; debugging; software design","Professional Programming: Oop Casebook 10 R. Kumar Programming Professional Programming: Oop Casebook 10 is designed for college library users studying Programming. It explains Python, Java, and C++ with examples, exercises, and project-oriented cases. The book is useful for semester study, lab preparation, interviews, and capstone project reference. Programming; OOP; Python; Java; C++; OOP; debugging; software design"
9789310000202,9789310000202,8100000202,Distributed Database Systems: Transactions Casebook 10,S. Iyer,S. Iyer,Database Systems,Database Systems,Oxford University Press,2021,2021,"Distributed Database Systems: Transactions Casebook 10 is designed for college library users studying Database Systems. It explains SQL, normalization, and transactions with examples, exercises, and project-oriented cases. The book is useful for semester study, lab preparation, interviews, and capstone project reference.",Database Systems; transactions; SQL; normalization; transactions; query optimization; NoSQL,English,Available,Available,3,3,4,4,8,,,E-11-3,E-11-3,0.69,Intermediate,CSE students; backend developers; database administrators,Introduction to Database Systems; Core concepts in transactions; Tools and methods for normalization; Solved examples; Mini project and assessment questions,4.0,644,books.csv,"Distributed Database Systems: Transactions Casebook 10 S. Iyer Database Systems Distributed Database Systems: Transactions Casebook 10 is designed for college library users studying Database Systems. It explains SQL, normalization, and transactions with examples, exercises, and project-oriented cases. The book is useful for semester study, lab preparation, interviews, and capstone project reference. Database Systems; transactions; SQL; normalization; transactions; query optimization; NoSQL","Distributed Database Systems: Transactions Casebook 10 S. Iyer Database Systems Distributed Database Systems: Transactions Casebook 10 is designed for college library users studying Database Systems. It explains SQL, normalization, and transactions with examples, exercises, and project-oriented cases. The book is useful for semester study, lab preparation, interviews, and capstone project reference. Database Systems; transactions; SQL; normalization; transactions; query optimization; NoSQL"
9789310000203,9789310000203,8100000203,Applied Cybersecurity: Risk Casebook 10,Meera Nair,Meera Nair,Cybersecurity,Cybersecurity,Cambridge University Press,2022,2022,"Applied Cybersecurity: Risk Casebook 10 is designed for college library users studying Cybersecurity. It explains security, cryptography, and penetration testing with examples, exercises, and project-oriented cases. The book is useful for semester study, lab preparation, interviews, and capstone project reference.",Cybersecurity; risk; security; cryptography; penetration testing; risk; secure coding,English,Borrowed,Borrowed,0,0,5,5,13,2026-06-28,2026-06-28,F-12-4,F-12-4,0.86,Intermediate,cybersecurity students; CSE students; security analysts,Introduction to Cybersecurity; Core concepts in risk; Tools and methods for cryptography; Solved examples; Mini project and assessment questions,4.7,741,books.csv,"Applied Cybersecurity: Risk Casebook 10 Meera Nair Cybersecurity Applied Cybersecurity: Risk Casebook 10 is designed for college library users studying Cybersecurity. It explains security, cryptography, and penetration testing with examples, exercises, and project-oriented cases. The book is useful for semester study, lab preparation, interviews, and capstone project reference. Cybersecurity; risk; security; cryptography; penetration testing; risk; secure coding","Applied Cybersecurity: Risk Casebook 10 Meera Nair Cybersecurity Applied Cybersecurity: Risk Casebook 10 is designed for college library users studying Cybersecurity. It explains security, cryptography, and penetration testing with examples, exercises, and project-oriented cases. The book is useful for semester study, lab preparation, interviews, and capstone project reference. Cybersecurity; risk; security; cryptography; penetration testing; risk; secure coding"
9789310000204,9789310000204,8100000204,Network Computer Networks: Network Security Casebook 10,K. Srinivasan,K. Srinivasan,Computer Networks,Computer Networks,MIT Press,2023,2023,"Network Computer Networks: Network Security Casebook 10 is designed for college library users studying Computer Networks. It explains TCP/IP, routing, and switching with examples, exercises, and project-oriented cases. The book is useful for semester study, lab preparation, interviews, and capstone project reference.",Computer Networks; network security; TCP/IP; routing; switching; protocols; network security,English,Available,Available,1,1,6,6,14,,,A-13-5,A-13-5,0.48,Intermediate,CSE students; ECE students; network engineers,Introduction to Computer Networks; Core concepts in network security; Tools and methods for routing; Solved examples; Mini project and assessment questions,3.8,838,books.csv,"Network Computer Networks: Network Security Casebook 10 K. Srinivasan Computer Networks Network Computer Networks: Network Security Casebook 10 is designed for college library users studying Computer Networks. It explains TCP/IP, routing, and switching with examples, exercises, and project-oriented cases. The book is useful for semester study, lab preparation, interviews, and capstone project reference. Computer Networks; network security; TCP/IP; routing; switching; protocols; network security","Network Computer Networks: Network Security Casebook 10 K. Srinivasan Computer Networks Network Computer Networks: Network Security Casebook 10 is designed for college library users studying Computer Networks. It explains TCP/IP, routing, and switching with examples, exercises, and project-oriented cases. The book is useful for semester study, lab preparation, interviews, and capstone project reference. Computer Networks; network security; TCP/IP; routing; switching; protocols; network security"
9789310000205,9789310000205,8100000205,Operating Operating Systems: Processes Casebook 10,Priya Menon,Priya Menon,Operating Systems,Operating Systems,O'Reilly Media,2024,2024,"Operating Operating Systems: Processes Casebook 10 is designed for college library users studying Operating Systems. It explains processes, memory management, and file systems with examples, exercises, and project-oriented cases. The book is useful for semester study, lab preparation, interviews, and capstone project reference.",Operating Systems; processes; processes; memory management; file systems; scheduling; Linux,English,Available,Available,3,3,7,7,14,,,B-14-6,B-14-6,0.65,Beginner,CSE students; systems programmers; exam preparation students,Introduction to Operating Systems; Core concepts in processes; Tools and methods for memory management; Solved examples; Mini project and assessment questions,4.5,935,books.csv,"Operating Operating Systems: Processes Casebook 10 Priya Menon Operating Systems Operating Operating Systems: Processes Casebook 10 is designed for college library users studying Operating Systems. It explains processes, memory management, and file systems with examples, exercises, and project-oriented cases. The book is useful for semester study, lab preparation, interviews, and capstone project reference. Operating Systems; processes; processes; memory management; file systems; scheduling; Linux","Operating Operating Systems: Processes Casebook 10 Priya Menon Operating Systems Operating Operating Systems: Processes Casebook 10 is designed for college library users studying Operating Systems. It explains processes, memory management, and file systems with examples, exercises, and project-oriented cases. The book is useful for semester study, lab preparation, interviews, and capstone project reference. Operating Systems; processes; processes; memory management; file systems; scheduling; Linux"
9789310000206,9789310000206,8100000206,Agile Software Engineering: Design Patterns Casebook 10,Daniel Roberts,Daniel Roberts,Software Engineering,Software Engineering,Springer,2025,2025,"Agile Software Engineering: Design Patterns Casebook 10 is designed for college library users studying Software Engineering. It explains requirements, design patterns, and testing with examples, exercises, and project-oriented cases. The book is useful for semester study, lab preparation, interviews, and capstone project reference.",Software Engineering; design patterns; requirements; design patterns; testing; DevOps; project management,English,Available,Available,7,7,8,8,12,,,C-15-7,C-15-7,0.82,Intermediate,CSE students; software engineers; project teams,Introduction to Software Engineering; Core concepts in design patterns; Tools and methods for design patterns; Solved examples; Mini project and assessment questions,3.6,1032,books.csv,"Agile Software Engineering: Design Patterns Casebook 10 Daniel Roberts Software Engineering Agile Software Engineering: Design Patterns Casebook 10 is designed for college library users studying Software Engineering. It explains requirements, design patterns, and testing with examples, exercises, and project-oriented cases. The book is useful for semester study, lab preparation, interviews, and capstone project reference. Software Engineering; design patterns; requirements; design patterns; testing; DevOps; project management","Agile Software Engineering: Design Patterns Casebook 10 Daniel Roberts Software Engineering Agile Software Engineering: Design Patterns Casebook 10 is designed for college library users studying Software Engineering. It explains requirements, design patterns, and testing with examples, exercises, and project-oriented cases. The book is useful for semester study, lab preparation, interviews, and capstone project reference. Software Engineering; design patterns; requirements; design patterns; testing; DevOps; project management"
9789310000207,9789310000207,8100000207,Serverless Cloud Computing: Kubernetes Casebook 10,Nisha Verma,Nisha Verma,Cloud Computing,Cloud Computing,Wiley,2026,2026,"Serverless Cloud Computing: Kubernetes Casebook 10 is designed for college library users studying Cloud Computing. It explains virtualization, containers, and Kubernetes with examples, exercises, and project-oriented cases. The book is useful for semester study, lab preparation, interviews, and capstone project reference.",Cloud Computing; Kubernetes; virtualization; containers; Kubernetes; AWS; microservices,English,Available,Available,1,1,9,9,20,,,D-16-8,D-16-8,0.99,Intermediate,cloud engineers; CSE students; DevOps learners,Introduction to Cloud Computing; Core concepts in Kubernetes; Tools and methods for containers; Solved examples; Mini project and assessment questions,4.3,1129,books.csv,"Serverless Cloud Computing: Kubernetes Casebook 10 Nisha Verma Cloud Computing Serverless Cloud Computing: Kubernetes Casebook 10 is designed for college library users studying Cloud Computing. It explains virtualization, containers, and Kubernetes with examples, exercises, and project-oriented cases. The book is useful for semester study, lab preparation, interviews, and capstone project reference. Cloud Computing; Kubernetes; virtualization; containers; Kubernetes; AWS; microservices","Serverless Cloud Computing: Kubernetes Casebook 10 Nisha Verma Cloud Computing Serverless Cloud Computing: Kubernetes Casebook 10 is designed for college library users studying Cloud Computing. It explains virtualization, containers, and Kubernetes with examples, exercises, and project-oriented cases. The book is useful for semester study, lab preparation, interviews, and capstone project reference. Cloud Computing; Kubernetes; virtualization; containers; Kubernetes; AWS; microservices"
9789310000208,9789310000208,8100000208,Calculus for Mathematics: Discrete Math Casebook 10,Arun Patel,Arun Patel,Mathematics,Mathematics,Apress,2014,2014,"Calculus for Mathematics: Discrete Math Casebook 10 is designed for college library users studying Mathematics. It explains calculus, linear algebra, and probability with examples, exercises, and project-oriented cases. The book is useful for semester study, lab preparation, interviews, and capstone project reference.",Mathematics; discrete math; calculus; linear algebra; probability; discrete math; optimization,English,Available,Available,1,1,2,2,1,,,E-17-1,E-17-1,0.61,Intermediate,engineering students; CSE students; exam preparation students,Introduction to Mathematics; Core concepts in discrete math; Tools and methods for linear algebra; Solved examples; Mini project and assessment questions,3.4,1226,books.csv,"Calculus for Mathematics: Discrete Math Casebook 10 Arun Patel Mathematics Calculus for Mathematics: Discrete Math Casebook 10 is designed for college library users studying Mathematics. It explains calculus, linear algebra, and probability with examples, exercises, and project-oriented cases. The book is useful for semester study, lab preparation, interviews, and capstone project reference. Mathematics; discrete math; calculus; linear algebra; probability; discrete math; optimization","Calculus for Mathematics: Discrete Math Casebook 10 Arun Patel Mathematics Calculus for Mathematics: Discrete Math Casebook 10 is designed for college library users studying Mathematics. It explains calculus, linear algebra, and probability with examples, exercises, and project-oriented cases. The book is useful for semester study, lab preparation, interviews, and capstone project reference. Mathematics; discrete math; calculus; linear algebra; probability; discrete math; optimization"
9789310000209,9789310000209,8100000209,University Physics: Quantum Physics Casebook 10,Leena Thomas,Leena Thomas,Physics,Physics,PHI Learning,2015,2015,"University Physics: Quantum Physics Casebook 10 is designed for college library users studying Physics. It explains mechanics, optics, and electricity with examples, exercises, and project-oriented cases. The book is useful for semester study, lab preparation, interviews, and capstone project reference.",Physics; quantum physics; mechanics; optics; electricity; magnetism; quantum physics,English,Available,Available,3,3,3,3,1,,,F-18-2,F-18-2,0.78,Intermediate,engineering students; physics students; first-year students,Introduction to Physics; Core concepts in quantum physics; Tools and methods for optics; Solved examples; Mini project and assessment questions,4.1,1323,books.csv,"University Physics: Quantum Physics Casebook 10 Leena Thomas Physics University Physics: Quantum Physics Casebook 10 is designed for college library users studying Physics. It explains mechanics, optics, and electricity with examples, exercises, and project-oriented cases. The book is useful for semester study, lab preparation, interviews, and capstone project reference. Physics; quantum physics; mechanics; optics; electricity; magnetism; quantum physics","University Physics: Quantum Physics Casebook 10 Leena Thomas Physics University Physics: Quantum Physics Casebook 10 is designed for college library users studying Physics. It explains mechanics, optics, and electricity with examples, exercises, and project-oriented cases. The book is useful for semester study, lab preparation, interviews, and capstone project reference. Physics; quantum physics; mechanics; optics; electricity; magnetism; quantum physics"
9789310000210,9789310000210,8100000210,Engineering Chemistry: Chemical Bonding Casebook 10,A. Sharma,A. Sharma,Chemistry,Chemistry,Pearson,2016,2016,"Engineering Chemistry: Chemical Bonding Casebook 10 is designed for college library users studying Chemistry. It explains chemical bonding, thermodynamics, and polymers with examples, exercises, and project-oriented cases. The book is useful for semester study, lab preparation, interviews, and capstone project reference.",Chemistry; chemical bonding; chemical bonding; thermodynamics; polymers; materials; environment,English,Borrowed,Borrowed,0,0,4,4,6,2026-06-14,2026-06-14,A-19-3,A-19-3,0.95,Beginner,engineering students; chemistry students; first-year students,Introduction to Chemistry; Core concepts in chemical bonding; Tools and methods for thermodynamics; Solved examples; Mini project and assessment questions,4.8,1420,books.csv,"Engineering Chemistry: Chemical Bonding Casebook 10 A. Sharma Chemistry Engineering Chemistry: Chemical Bonding Casebook 10 is designed for college library users studying Chemistry. It explains chemical bonding, thermodynamics, and polymers with examples, exercises, and project-oriented cases. The book is useful for semester study, lab preparation, interviews, and capstone project reference. Chemistry; chemical bonding; chemical bonding; thermodynamics; polymers; materials; environment","Engineering Chemistry: Chemical Bonding Casebook 10 A. Sharma Chemistry Engineering Chemistry: Chemical Bonding Casebook 10 is designed for college library users studying Chemistry. It explains chemical bonding, thermodynamics, and polymers with examples, exercises, and project-oriented cases. The book is useful for semester study, lab preparation, interviews, and capstone project reference. Chemistry; chemical bonding; chemical bonding; thermodynamics; polymers; materials; environment"
